VesselID,CorrosionRate,Age,OperatingPressure,Location,Notes
F-1001,3.8,22,48.5,Crude Unit,HIGH - Severe corrosion in feed line
D-2045,0.8,7,32.1,Distillation,LOW - Recent inspection good condition
C-3012,2.1,18,45.0,Cracker,MEDIUM - Age plus corrosion requires attention
T-4056,1.5,28,62.3,Storage Tank,MEDIUM - High pressure older vessel
R-5089,0.5,12,28.4,Reformer,LOW - Well maintained low risk
P-7034,4.2,16,38.9,Pump Array,HIGH - Critical corrosion over 4.0 mm/yr
S-8012,0.9,5,22.7,Separator,LOW - New installation
V-9023,3.0,32,65.4,Vacuum Unit,HIGH - Old vessel high corrosion
H-6123,1.2,8,55.6,Heater,LOW - Moderate age low corrosion
K-1124,2.8,14,42.3,Compressor,MEDIUM - Approaching 15-year threshold
M-2256,0.3,3,18.9,Mixer,LOW - Brand new equipment
N-3347,1.9,21,39.8,Distillation,MEDIUM - Needs age assessment
